CHARACTERS ID,Baratheon,Greyjoy ,Lannister ,Stark ,Freefolk,Targaryen,Other,King ,Death,War 
ARYA,0,0,0,1,0,0,0,0,0,1
BRAN,0,0,0,1,0,0,0,1,0,1
BRIENNE,0,0,0,0,0,0,1,0,0,1
BRONN,0,0,0,0,0,0,1,0,0,0
CATELYN,0,0,0,1,0,0,0,0,1,0
CERSEI,0,0,1,0,0,0,0,0,1,-1
DAENERYS,0,0,0,0,0,1,0,0,1,1
DAVOS,0,0,0,0,0,0,1,0,0,1
DROGO,0,0,0,0,0,0,1,0,1,0
ELLARIA,0,0,0,0,0,0,1,0,1,0
GENDRY,1,0,0,0,0,0,0,0,0,1
GILLY,0,0,0,0,1,0,0,0,0,1
GREY_WORM,0,0,0,0,1,0,0,0,0,-1
JAIME,0,0,1,0,0,0,0,0,1,-1
JEOR,0,0,0,0,0,0,1,0,1,0
JOFFREY,1,0,0,0,0,0,0,0,1,0
AEGON,0,0,0,0,0,1,0,0,0,1
JORAH,0,0,0,0,0,0,1,0,1,1
MARGAERY,0,0,0,0,0,0,1,0,1,0
MARTYN,0,0,1,0,0,0,0,0,1,0
MELISANDRE,0,0,0,0,0,0,1,0,1,0
MISSANDEI,0,0,0,0,0,0,1,0,1,0
NED,0,0,0,1,0,0,0,0,1,0
NIGHT_KING,0,0,0,0,0,0,1,0,1,-1
PETYR,0,0,0,0,0,0,1,0,0,0
RAMSAY,0,0,0,0,0,0,1,0,1,0
ROBB,0,0,0,1,0,0,0,0,1,0
ROBERT,1,0,0,0,0,0,0,0,1,0
SAMWELL,0,0,0,0,0,0,1,0,0,1
SANDOR,0,0,0,0,0,0,1,0,1,1
SANSA,0,0,0,1,0,0,0,0,0,1
SHAE,0,0,0,0,0,0,1,0,1,0
STANNIS,1,0,0,0,0,0,0,0,1,0
THEON,0,1,0,0,0,0,0,0,1,1
TOMMEN,1,0,0,0,0,0,0,0,1,0
TORMUND,0,0,0,0,1,0,0,0,0,1
TYRION,0,0,1,0,0,0,0,0,0,0
TYWIN,0,0,1,0,0,0,0,0,1,0
VARYS,0,0,0,0,0,0,1,0,1,0
VISERYS,0,0,0,0,0,1,0,0,1,0
WHITE_WALKER,0,0,0,0,0,0,1,0,1,0
YGRITTE,0,0,0,0,1,0,0,0,1,0
